,CD8 T,Mono,B,DC,NK,other T,CD4 T
TTC22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIMAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4422HG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOC101926907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGGY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOOK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PATJ,1.3478141,0.0,0.0,0.0,0.0,0.0,1.4268504
DOCK7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGB3BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFCAB7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLEU2L,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CACHD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAVER2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAJC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDE4B,0.0,0.0,1.3425133,1.0859413,0.0,0.0,0.0
DNAI4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC35D1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL23R,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL12RB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GADD45A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRRC7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD13C-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZRANB2-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEGR1,0.0,0.0,0.0,2.2807803,0.0,0.0,0.0
LRRIQ3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPGT-TNNI3K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNNI3K,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRYZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYW3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC44A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST6GALNAC3,0.0,0.0,1.4456584,0.0,0.0,0.0,0.0
ST6GALNAC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIGK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEXN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFI44L,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFI44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTLL7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSX2IP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPAR3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCOLN2,0.0,0.0,0.0,0.9389874,0.0,0.0,0.0
DNAI3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCOLN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYDE2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL10-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL24A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLCA4-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HS2ST1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PKN2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBMXL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRRC8C,2.125207,1.0905445,0.0,1.1368229,0.0,1.2870041,2.2332203
CDC7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGFBR3,0.0,0.0,0.0,0.0,2.6079137,1.4806008,0.0
BRDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTBD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVI5,0.0,1.9027799,0.0,1.456795,0.0,0.0,0.0
DIPK1A,0.0,0.0,1.4399801,0.0,0.0,0.0,0.0
CCDC18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FNBP1L,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCAR3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCLM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC44A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALG14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLCD4-RWDD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RWDD3-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RWDD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPYD-IT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLPPR5-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SASS6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRRC39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPH5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPH5-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1PR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNPC3-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTNG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAV3,0.0,1.419438,2.0371718,1.9875672,2.147602,0.0,0.0
VAV3-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKNAD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WDR47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELAPOR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SORT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMIGO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSTM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSTM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM15-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRIF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNT2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC16A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC16A1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRIG2-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGI3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTPN22,0.0,0.0,0.0,0.0,1.4025623,0.0,0.0
DENND2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSPAN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC22A15,0.0,0.8425641,0.0,0.0,0.0,0.0,0.0
ATP1A1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WDR3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WARS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WARS2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOTCH2,0.0,2.2068014,1.7253836,1.9461246,0.0,0.0,0.0
NBPF26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRGAP2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBPF15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRGAP2B,0.0,1.152403,0.0,1.1671678,0.0,0.0,0.0
NBPF20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPR89A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD160,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGA10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POLR3GL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBPF10,0.0,0.862476,0.0,0.78707445,0.0,0.0,0.0
NOTCH2NLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBPF12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHD1L,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPR89B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBPF11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01138,1.2665024,0.0,0.0,0.0,1.6276026,0.0,0.0
NBPF14,0.0,1.7325315,0.0,1.6672121,0.0,0.0,0.0
NBPF9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOTCH2NLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2BC18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTUD7B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1orf54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCL1,1.3482361,2.6832974,0.0,1.9994532,1.2209312,1.4446672,1.4142317
GOLPH3L,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTSS,0.0,2.5265386,0.0,1.7334583,0.0,0.0,0.0
PRUNE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNIPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUFT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDRKH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RORC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2CD4D-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIM46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYT11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPATCH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH2D2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCRL5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCRL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCRL2,0.0,0.0,1.4421959,0.0,0.0,0.0,0.0
FCRL1,0.0,0.0,2.6941612,0.0,0.0,0.0,0.0
MNDA,0.0,1.4262493,0.0,0.792229,0.0,0.0,0.0
PYHIN1,0.0,0.0,0.0,0.0,2.0329309,1.3287276,0.0
AIM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCRL6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLAMF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLAMF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UFC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCGR3A,0.0,0.0,0.0,0.0,1.3938415,0.0,0.0
FCRLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOS1AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH2D1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGS5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGS5-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOC127814295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PBX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGST3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM78B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TADA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPA33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD247,2.446879,0.0,0.0,0.0,3.7270467,2.3545027,2.4465575
MPZL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIPRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBX19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NME7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SELP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIRRM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METTL18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCYL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FMO1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FMO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYOCOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FASLG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFSF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRDX6-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CENPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RABGAP1L-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CACYBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP1-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASAL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RALGPS2,0.0,0.0,3.3692074,0.0,0.0,0.0,0.0
GLUL,0.0,1.2286537,0.0,0.0,0.0,0.0,0.0
LAMC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLGALT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSEN15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1orf21,0.0,0.0,0.0,0.0,1.5867883,0.0,0.0
NIBAN1,0.0,0.0,0.0,1.0503798,0.0,1.0838984,0.0
HMCN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRG4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDC-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTGS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGS18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGS2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGS2,0.0,1.2794625,0.0,0.0,0.0,0.0,0.0
B3GALT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR181A1HG,0.0,0.62814236,0.0,1.6941727,0.0,0.0,0.0
LINC00862,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIF14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMSAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSRP1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAV1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LGR6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2T,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOX13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMCC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC41A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM20D1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRGAP2,0.0,1.6380405,0.0,1.8586035,0.0,0.0,0.0
CR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSD11B1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G0S2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSD11B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TATDN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLVCR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMYD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CENPF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCTD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USH2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPATCH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RRP15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGFB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYPLAL1-DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYPLAL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLX-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM177B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOC105372984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUSD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIN9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITPKB,1.1134975,0.0,0.0,0.0,0.0,0.0,0.0
ITPKB-IT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC42BPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAF5L,0.0,0.0,0.0,0.0,0.0,0.0,0.0
URB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1orf198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FSAF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGLN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIPA1L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTPCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCNX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAP3K21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC35F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GGPS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3GALNT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYST,0.0,2.7571635,1.9362864,2.0257318,1.5948784,0.0,0.0
EDARADD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RYR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHRM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHRM3-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GREM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGS7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OPN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WDR64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLD5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CATSPERE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
