GO_Term	Score
MAP2K1_TARGET_GENES	0.33458773886234117
NR2E3_TARGET_GENES	0.19687340486873667
CREBL2_TARGET_GENES	-0.11309538756505343
SRF_01	0.11124993973817025
PAX5_02	0.09938811504223546
PAX6_01	0.09658967954492864
PAX2_01	0.09563773464876923
ZNF404_TARGET_GENES	0.09449020666057216
TERF1_TARGET_GENES	0.08808964153413171
CCGNMNNTNACG_UNKNOWN	0.08727369314448553
ZNF169_TARGET_GENES	0.08645545610657389
EVI1_06	0.08559713255162461
YWATTWNNRGCT_UNKNOWN	0.08460590152588018
EGFR_TARGET_GENES	0.08364693471558529
SIRT3_TARGET_GENES	0.08075225753650804
TAANNYSGCG_UNKNOWN	0.07416072849799372
YNTTTNNNANGCARM_UNKNOWN	0.07326516634348876
NFE2_01	0.07216758218984086
ATCMNTCCGY_UNKNOWN	0.0696123129580126
FREAC4_01	0.06667063916555188
