CD8-T,Mono,B,DC,NK,other-T,CD4-T
1.0,0.5357,0.5339,0.6023,0.5096,0.6613,0.8338
0.5357,1.0,0.5932,0.8217,0.5025,0.5231,0.5205
0.5339,0.5932,1.0,0.6602,0.4672,0.4838,0.5037
0.6023,0.8217,0.6602,1.0,0.5458,0.5787,0.5809
0.5096,0.5025,0.4672,0.5458,1.0,0.5711,0.4465
0.6613,0.5231,0.4838,0.5787,0.5711,1.0,0.5917
0.8338,0.5205,0.5037,0.5809,0.4465,0.5917,1.0
