CD8 T,Mono,B,DC,NK,other T,CD4 T
0.000000000000000000e+00,7.320999999999999730e-01,7.171000000000000707e-01,6.739999999999999325e-01,7.568000000000000282e-01,5.687999999999999723e-01,2.358000000000000096e-01
7.320999999999999730e-01,0.000000000000000000e+00,6.755999999999999783e-01,3.760999999999999899e-01,7.751000000000000112e-01,7.936999999999999611e-01,7.581999999999999851e-01
7.171000000000000707e-01,6.755999999999999783e-01,0.000000000000000000e+00,6.169999999999999929e-01,7.988999999999999435e-01,7.939000000000000501e-01,7.719000000000000306e-01
6.739999999999999325e-01,3.760999999999999899e-01,6.169999999999999929e-01,0.000000000000000000e+00,7.504999999999999449e-01,7.604999999999999538e-01,7.120999999999999552e-01
7.568000000000000282e-01,7.751000000000000112e-01,7.988999999999999435e-01,7.504999999999999449e-01,0.000000000000000000e+00,6.200999999999999845e-01,8.268999999999999684e-01
5.687999999999999723e-01,7.936999999999999611e-01,7.939000000000000501e-01,7.604999999999999538e-01,6.200999999999999845e-01,0.000000000000000000e+00,6.572999999999999954e-01
2.358000000000000096e-01,7.581999999999999851e-01,7.719000000000000306e-01,7.120999999999999552e-01,8.268999999999999684e-01,6.572999999999999954e-01,0.000000000000000000e+00
